Plant_Code,Site,Treatment_Code,Black,julDate,Month,Day,BranchTempF(orig),BranchTempC
B15,B,55,1,115,Apr,24,85,29.4
B15,B,55,1,115,Apr,24,82,27.8
B16,B,56,0,115,Apr,24,84,28.9
B16,B,56,0,115,Apr,24,82,27.8
B16,B,56,0,115,Apr,24,80,26.7
B17,B,56,0,115,Apr,24,82,27.8
B17,B,56,0,115,Apr,24,81,27.2
B17,B,56,0,115,Apr,24,81,27.2
B18,B,56,0,115,Apr,24,85,29.4
B18,B,56,0,115,Apr,24,83,28.3
B18,B,56,0,115,Apr,24,82,27.8
B19,B,57,1,115,Apr,24,86,30
B19,B,57,1,115,Apr,24,85,29.4
B19,B,57,1,115,Apr,24,84,28.9
B20,B,57,1,115,Apr,24,90,32.2
B20,B,57,1,115,Apr,24,89,31.7
B20,B,57,1,115,Apr,24,88,31.1
B21,B,57,1,115,Apr,24,88,31.1
B21,B,57,1,115,Apr,24,87,30.6
B21,B,57,1,115,Apr,24,84,28.9
C01,C,51,1,119,Apr,28,76,24.4
C01,C,51,1,119,Apr,28,75,23.9
C01,C,51,1,119,Apr,28,72,22.2
C02,C,51,1,119,Apr,28,74,23.3
C02,C,51,1,119,Apr,28,73,22.8
C02,C,51,1,119,Apr,28,73,22.8
C03,C,51,1,119,Apr,28,85,29.4
C03,C,51,1,119,Apr,28,84,28.9
C03,C,51,1,119,Apr,28,78,25.6
C04,C,52,1,119,Apr,28,81,27.2
C04,C,52,1,119,Apr,28,79,26.1
C04,C,52,1,119,Apr,28,73,22.8
C05,C,52,1,119,Apr,28,86,30
C05,C,52,1,119,Apr,28,77,25
C05,C,52,1,119,Apr,28,75,23.9
C06,C,52,1,119,Apr,28,76,24.4
C06,C,52,1,119,Apr,28,71,21.7
C06,C,52,1,119,Apr,28,69,20.6
C07,C,53,0,119,Apr,28,76,24.4
C07,C,53,0,119,Apr,28,75,23.9
C07,C,53,0,119,Apr,28,73,22.8
C08,C,53,0,119,Apr,28,74,23.3
C08,C,53,0,119,Apr,28,73,22.8
C08,C,53,0,119,Apr,28,70,21.1
C09,C,53,0,119,Apr,28,81,27.2
C09,C,53,0,119,Apr,28,77,25
C09,C,53,0,119,Apr,28,75,23.9
C10,C,54,0,119,Apr,28,71,21.7
C10,C,54,0,119,Apr,28,70,21.1
C10,C,54,0,119,Apr,28,69,20.6
C11,C,54,0,119,Apr,28,77,25
C11,C,54,0,119,Apr,28,76,24.4
C11,C,54,0,119,Apr,28,76,24.4
C12,C,54,0,119,Apr,28,85,29.4
C12,C,54,0,119,Apr,28,82,27.8
C12,C,54,0,119,Apr,28,81,27.2
C13,C,55,1,119,Apr,28,74,23.3
C13,C,55,1,119,Apr,28,73,22.8
C13,C,55,1,119,Apr,28,72,22.2
C14,C,55,1,119,Apr,28,87,30.6
C14,C,55,1,119,Apr,28,85,29.4
C14,C,55,1,119,Apr,28,83,28.3
C15,C,55,1,119,Apr,28,83,28.3
C15,C,55,1,119,Apr,28,79,26.1
C15,C,55,1,119,Apr,28,78,25.6
C16,C,56,0,119,Apr,28,82,27.8
C16,C,56,0,119,Apr,28,78,25.6
C16,C,56,0,119,Apr,28,74,23.3
C17,C,56,0,119,Apr,28,73,22.8
C17,C,56,0,119,Apr,28,73,22.8
